0 -1 1 1319
8 0 1320 1369
9 82 -1 -1
12 83 1370 1374
16 89 1375 1378
18 95 1379 1380
24 98 1381 1384
26 104 1385 1424
27 155 1425 1425
28 157 1426 1515
32 270 -1 -1
36 271 -1 -1
40 272 1516 1570
42 339 1571 1580
43 352 1581 1600
44 378 1601 1700
48 537 -1 -1
56 538 1701 1719
58 566 1720 1740
59 599 1741 1743
60 604 1744 1775
64 666 1776 1804
66 716 -1 -1
67 717 1805 1829
68 751 1830 1830
72 753 1831 1940
74 960 -1 -1
75 961 1941 1941
76 963 1942 2055
80 1145 2056 2080
84 1186 -1 -1
88 1187 2081 2083
90 1192 2084 2090
91 1206 -1 -1
92 1207 2091 2093
96 1212 -1 -1
104 1213 -1 -1
106 1214 2094 2131
107 1273 2132 2194
108 1351 2195 2309
128 1577 2310 2478
130 1866 2479 2655
131 2134 2656 2765
132 2275 2766 3036
136 2741 3037 3122
138 2873 3123 3157
139 2918 3158 3212
140 3002 3213 3228
144 3020 -1 -1
160 3021 3229 3238
162 3035 3239 3250
163 3052 3251 3336
164 3177 3337 3420
170 3298 3421 3423
184 3302 3424 3490
186 3380 3491 3547
187 3470 3548 3570
188 3507 3571 3677
192 3627 3678 3755
194 3746 3756 3924
195 4013 3925 4049
196 4198 4050 4144
200 4326 4145 4236
202 4451 4237 4424
203 4731 4425 4543
204 4918 4544 4620
208 5013 4621 4747
210 5223 4748 4847
211 5351 4848 4958
212 5522 4959 4998
216 5599 4999 5010
218 5615 5011 5144
219 5816 5145 5208
220 5928 5209 5221
224 5947 5222 5298
226 6076 5299 5383
227 6223 5384 5420
228 6272 5421 5496
256 6379 5497 5585
258 6502 5586 5788
259 6922 5789 6008
260 7269 6009 6096
264 7389 6097 6145
266 7469 6146 6147
267 7477 6148 6173
268 7511 6174 6177
272 7516 6178 6197
275 7549 6198 6234
276 7606 6235 6276
296 7658 6277 6299
299 7690 -1 -1
300 7691 6300 6451
304 7919 6452 6483
306 7971 6484 6656
307 8252 6657 6708
308 8316 6709 6881
328 8579 6882 6911
330 8623 6912 6974
331 8716 6975 7063
332 8813 7064 7145
336 8961 7146 7190
338 9024 7191 7301
339 9202 7302 7322
340 9236 7323 7368
344 9297 7369 7372
346 9304 7373 7427
347 9370 7428 7488
348 9476 7489 7549
352 9566 7550 7554
355 9575 7555 7556
356 9578 7557 7562
384 9586 7563 7583
386 9612 7584 7762
387 9848 7763 7844
388 9983 7845 8044
416 10261 8045 8068
420 10298 8069 8191
456 10458 8192 8217
458 10488 8218 8404
459 10765 8405 8454
460 10834 8455 8490
464 10877 8491 8501
466 10889 8502 8560
467 10970 8561 8574
468 10985 8575 8633
480 11096 8634 8658
482 11130 -1 -1
483 11131 8659 8735
484 11227 8736 8790
512 11293 -1 -1
520 11294 8791 8922
521 11505 -1 -1
522 11506 8923 8958
523 11557 8959 8983
524 11587 8984 9010
528 11618 9011 9058
530 11699 9059 9144
531 11818 9145 9151
532 11826 9152 9164
552 11845 9165 9165
554 11847 9166 9275
555 11995 9276 9386
556 12183 9387 9466
560 12275 9467 9539
563 12357 9540 9611
564 12489 9612 9712
568 12611 9713 9788
570 12710 9789 9790
571 12713 9791 9897
572 12913 9898 10032
584 13092 10033 10107
587 13193 10108 10142
588 13234 10143 10270
592 13416 10271 10302
595 13452 10303 10423
596 13602 10424 10438
600 13619 10439 10474
603 13660 10475 10500
604 13692 10501 10515
608 13712 10516 10530
610 13729 -1 -1
611 13730 -1 -1
612 13731 10531 10539
640 13745 10540 10563
642 13783 10564 10593
643 13823 10594 10687
644 13940 10688 10839
672 14166 10840 10844
674 14172 10845 10937
675 14282 10938 10940
676 14286 10941 10943
696 14290 10944 10987
699 14364 10988 11051
700 14462 11052 11052
712 14464 11053 11156
715 14613 11157 11178
716 14638 11179 11305
720 14829 11306 11326
724 14864 11327 11336
736 14876 11337 11427
739 14988 11428 11460
740 15032 11461 11553
768 15168 11554 11554
770 15170 11555 11633
771 15303 11634 11713
772 15418 11714 11920
1024 15817 -1 -1
1032 15818 11921 11925
1034 15826 11926 11951
1036 15866 11952 11969
1040 15887 11970 12025
1042 15973 12026 12036
1043 15992 12037 12051
1044 16009 12052 12120
1064 16096 12121 12158
1066 16148 12159 12239
1067 16267 -1 -1
1068 16268 12240 12263
1072 16301 12264 12272
1074 16312 12273 12311
1075 16371 -1 -1
1076 16372 12312 12358
1080 16432 12359 12379
1082 16462 12380 12393
1083 16480 12394 12421
1084 16523 12422 12462
1088 16573 12463 12465
1090 16577 12466 12467
1091 16580 12468 12474
1096 16588 12475 12497
1098 16619 12498 12538
1099 16668 -1 -1
1100 16669 12539 12570
1104 16715 12571 12602
1106 16772 12603 12608
1107 16779 -1 -1
1112 16780 12609 12613
1114 16787 12614 12642
1115 16825 -1 -1
1116 16826 12643 12643
1120 16828 12644 12657
1122 16849 12658 12690
1123 16896 12691 12699
1124 16909 12700 12718
1152 16931 12719 12792
1154 17034 12793 12865
1155 17142 12866 12874
1156 17152 12875 12897
1184 17178 12898 12906
1187 17189 12907 12908
1208 17192 12909 12951
1210 17253 12952 12957
1211 17260 12958 12961
1212 17266 12962 12988
1224 17300 12989 13072
1226 17403 13073 13084
1228 17418 13085 13125
1232 17471 13126 13151
1234 17517 13152 13186
1235 17564 13187 13212
1236 17596 13213 13224
1248 17609 13225 13227
1250 17618 13228 13368
1251 17862 -1 -1
1280 17863 13369 13412
1282 17924 13413 13446
1283 17978 13447 13479
1284 18038 13480 13500
1536 18068 -1 -1
1544 18069 13501 13505
1545 18077 -1 -1
1546 18078 13506 13544
1547 18138 13545 13652
1548 18321 13653 13662
1552 18333 13663 13689
1553 18373 -1 -1
1554 18374 13690 13781
1555 18496 13782 13803
1556 18522 13804 13924
1561 18684 -1 -1
1578 18685 13925 13939
1579 18708 13940 13978
1580 18757 13979 14057
1586 18861 14058 14164
1587 19007 14165 14300
1588 19198 14301 14314
1592 19213 14315 14324
1594 19228 14325 14400
1595 19335 14401 14404
1596 19341 14405 14452
1602 19412 14453 14480
1603 19449 14481 14500
1610 19476 14501 14541
1611 19528 14542 14592
1612 19616 14593 14636
1616 19682 14637 14645
1617 19692 -1 -1
1618 19693 14646 14721
1619 19785 -1 -1
1620 19786 14722 14724
1626 19790 14725 14762
1627 19852 14763 14772
1634 19863 14773 14820
1635 19931 14821 14861
1636 19976 14862 14898
1664 20024 14899 14903
1666 20033 14904 14962
1667 20108 14963 15009
1668 20164 15010 15068
1696 20249 15069 15070
1700 20254 15071 15087
1720 20279 -1 -1
1722 20280 15088 15119
1723 20327 15120 15129
1724 20343 15130 15169
1728 20393 -1 -1
1732 20394 15170 15173
1738 20399 15174 15214
1739 20459 15215 15243
1740 20496 15244 15325
1746 20607 15326 15391
1747 20768 15392 15418
1762 20807 15419 15617
1763 21110 -1 -1
1764 21111 15618 15636
1794 21140 15637 15637
1795 21142 15638 15686
1796 21204 15687 15850
2048 21440 -1 -1
2056 21441 15851 16022
2058 21721 16023 16053
